DATE,SOURCES,SOURCEURLS,ARTICLE_TITLE,SENTIMENT,INF
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m2-82-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M2.82 quake has struck near Indios in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/28/minor-earthquake-m3-91-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M3.91 quake has struck near Indios in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m3-8-quake-has-struck-near-guanica-in-puerto-rico-2/,Minor earthquake: M3.8 quake has struck near Guanica in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m3-01-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M3.01 quake has struck near Indios in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-2-83-mag-was-detected-near-guanica-in-puerto-rico/,"Minor earthquake, 2.83 mag was detected near Guanica in Puerto Rico",Neutral,1
20191229,nbcmiami.com,https://www.nbcmiami.com/news/local/4-7-magnitude-earthquake-hits-puerto-rico/2170646/,4.7 Magnitude Earthquake Hits Puerto Rico,Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-3-55-mag-was-detected-near-guanica-in-puerto-rico/,"Minor earthquake, 3.55 mag was detected near Guanica in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-2-89-mag-was-detected-near-maria-antonia-in-puerto-rico/,"Minor earthquake, 2.89 mag was detected near Maria Antonia in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m3-05-quake-has-struck-near-maria-antonia-in-puerto-rico/,Minor earthquake: M3.05 quake has struck near Maria Antonia in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m2-94-quake-has-struck-near-guanica-in-puerto-rico/,Minor earthquake: M2.94 quake has struck near Guanica in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-3-09-mag-76-km-n-of-san-antonio-puerto-rico/,"Minor earthquake 3.09 mag, 76 km N of San Antonio, Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/28/light-earthquake-4-1-mag-has-occurred-near-indios-in-puerto-rico/,"Light earthquake, 4.1 mag has occurred near Indios in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m3-5-quake-has-struck-near-guanica-in-puerto-rico/,Minor earthquake: M3.5 quake has struck near Guanica in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/moderate-earthquake-5-mag-strikes-near-indios-in-puerto-rico/,"Moderate earthquake, 5 mag strikes near Indios in Puerto Rico",Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-m2-95-quake-has-struck-near-guanica-in-puerto-rico/,Minor earthquake: M2.95 quake has struck near Guanica in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-3-4-mag-has-occurred-near-guanica-in-puerto-rico/,"Minor earthquake, 3.4 mag has occurred near Guanica in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/moderate-earthquake-5-2-mag-has-occurred-near-indios-in-puerto-rico/,"Moderate earthquake, 5.2 mag has occurred near Indios in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-3-86-mag-13-km-s-of-indios-puerto-rico/,"Minor earthquake 3.86 mag, 13 km S of Indios, Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-2-82-mag-was-detected-near-guanica-in-puerto-rico/,"Minor earthquake, 2.82 mag was detected near Guanica in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/light-earthquake-m4-9-quake-has-struck-near-tallaboa-alta-in-puerto-rico/,Light earthquake: M4.9 quake has struck near Tallaboa Alta in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-3-65-mag-has-occurred-near-indios-in-puerto-rico/,"Minor earthquake, 3.65 mag has occurred near Indios in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/light-earthquake-4-3-mag-was-detected-near-indios-in-puerto-rico/,"Light earthquake, 4.3 mag was detected near Indios in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/light-earthquake-4-3-mag-has-occurred-near-indios-in-puerto-rico/,"Light earthquake, 4.3 mag has occurred near Indios in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/28/minor-earthquake-2-8-mag-has-occurred-near-guanica-in-puerto-rico/,"Minor earthquake, 2.8 mag has occurred near Guanica in Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/28/minor-earthquake-m3-8-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M3.8 quake has struck near Indios in Puerto Rico,Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/light-earthquake-4-9-mag-11-km-s-of-tallaboa-puerto-rico/,"Light earthquake 4.9 mag, 11 km S of Tallaboa, Puerto Rico",Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-2-86-mag-strikes-near-guanica-in-puerto-rico/,"Minor earthquake, 2.86 mag strikes near Guanica in Puerto Rico",Negative,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-2-94-mag-was-detected-near-indios-in-puerto-rico/,"Minor earthquake, 2.94 mag was detected near Indios in Puerto Rico",Neutral,1
20191229,wptv.com,https://www.wptv.com/news/national/earthquake-of-magnitude-4-8-impacts-southwest-area-of-puerto-rico,Earthquake of magnitude 4.8 impacts southwest area of Puerto Rico,Neutral,1
20191229,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/light-earthquake-4-7-mag-was-detected-near-indios-in-puerto-rico/,"Light earthquake, 4.7 mag was detected near Indios in Puerto Rico",Neutral,1
20191230,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/30/minor-earthquake-2-97-mag-98-km-nw-of-san-antonio-puerto-rico/,"Minor earthquake 2.97 mag, 98 km NW of San Antonio, Puerto Rico",Neutral,1
20191230,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/30/minor-earthquake-2-89-mag-was-detected-near-san-antonio-in-puerto-rico-3/,"Minor earthquake, 2.89 mag was detected near San Antonio in Puerto Rico",Neutral,1
20191230,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/30/minor-earthquake-3-16-mag-has-occurred-near-san-juan-in-puerto-rico-2/,"Minor earthquake, 3.16 mag has occurred near San Juan in Puerto Rico",Neutral,1
20191230,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/30/minor-earthquake-2-97-mag-strikes-near-guanica-in-puerto-rico/,"Minor earthquake, 2.97 mag strikes near Guanica in Puerto Rico",Negative,1
20191230,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/29/minor-earthquake-3-2-mag-11-km-s-of-indios-puerto-rico/,"Minor earthquake 3.2 mag, 11 km S of Indios, Puerto Rico",Neutral,1
20191230,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/30/minor-earthquake-3-12-mag-7-km-se-of-guanica-puerto-rico/,"Minor earthquake 3.12 mag, 7 km SE of Guanica, Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-2-8-mag-8-km-sse-of-guanica-puerto-rico/,"Minor earthquake 2.8 mag, 8 km SSE of Guanica, Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-3-22-mag-strikes-near-guanica-in-puerto-rico/,"Minor earthquake, 3.22 mag strikes near Guanica in Puerto Rico",Negative,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-2-96-mag-91-km-nnw-of-san-antonio-puerto-rico/,"Minor earthquake 2.96 mag, 91 km NNW of San Antonio, Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-m3-02-quake-has-struck-near-isabela-in-puerto-rico-3/,Minor earthquake: M3.02 quake has struck near Isabela in Puerto Rico,Negative,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-3-45-mag-strikes-near-guanica-in-puerto-rico/,"Minor earthquake, 3.45 mag strikes near Guanica in Puerto Rico",Negative,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-3-mag-was-detected-near-guanica-in-puerto-rico/,"Minor earthquake, 3 mag was detected near Guanica in Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-2-92-mag-has-occurred-near-guanica-in-puerto-rico/,"Minor earthquake, 2.92 mag has occurred near Guanica in Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-3-1-mag-9-km-se-of-guanica-puerto-rico/,"Minor earthquake 3.1 mag, 9 km SE of Guanica, Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-2-83-mag-11-km-sse-of-maria-antonia-puerto-rico/,"Minor earthquake 2.83 mag, 11 km SSE of Maria Antonia, Puerto Rico",Neutral,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-2-94-mag-strikes-near-guanica-in-puerto-rico/,"Minor earthquake, 2.94 mag strikes near Guanica in Puerto Rico",Negative,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-m3-37-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M3.37 quake has struck near Indios in Puerto Rico,Negative,1
20191231,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/minor-earthquake-3-9-mag-9-km-sse-of-guanica-puerto-rico/,"Minor earthquake 3.9 mag, 9 km SSE of Guanica, Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/light-earthquake-4-4-mag-was-detected-near-puerto-rico-region/,"Light earthquake, 4.4 mag was detected near Puerto Rico region",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/light-earthquake-4-2-mag-7-km-se-of-indios-puerto-rico/,"Light earthquake 4.2 mag, 7 km SE of Indios, Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-3-18-mag-strikes-near-rincon-in-puerto-rico/,"Minor earthquake, 3.18 mag strikes near Rincon in Puerto Rico",Negative,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/light-earthquake-4-5-mag-has-occurred-near-maria-antonia-in-puerto-rico/,"Light earthquake, 4.5 mag has occurred near Maria Antonia in Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-2-8-mag-13-km-se-of-guanica-puerto-rico/,"Minor earthquake 2.8 mag, 13 km SE of Guanica, Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-3-64-mag-strikes-near-indios-in-puerto-rico/,"Minor earthquake, 3.64 mag strikes near Indios in Puerto Rico",Negative,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-2-85-mag-7-km-sse-of-guanica-puerto-rico/,"Minor earthquake 2.85 mag, 7 km SSE of Guanica, Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-3-5-mag-strikes-near-san-antonio-in-puerto-rico-3/,"Minor earthquake, 3.5 mag strikes near San Antonio in Puerto Rico",Negative,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2019/12/31/light-earthquake-4-6-mag-7-km-se-of-indios-puerto-rico/,"Light earthquake 4.6 mag, 7 km SE of Indios, Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-3-12-mag-strikes-near-san-juan-in-puerto-rico/,"Minor earthquake, 3.12 mag strikes near San Juan in Puerto Rico",Negative,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-m2-83-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M2.83 quake has struck near Indios in Puerto Rico,Negative,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-2-8-mag-was-detected-near-guanica-in-puerto-rico/,"Minor earthquake, 2.8 mag was detected near Guanica in Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-3-53-mag-64-km-nw-of-san-antonio-puerto-rico/,"Minor earthquake 3.53 mag, 64 km NW of San Antonio, Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-3-09-mag-was-detected-near-indios-in-puerto-rico/,"Minor earthquake, 3.09 mag was detected near Indios in Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-2-81-mag-was-detected-near-guanica-in-puerto-rico/,"Minor earthquake, 2.81 mag was detected near Guanica in Puerto Rico",Neutral,1
20200101,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/01/minor-earthquake-2-89-mag-8-km-sse-of-maria-antonia-puerto-rico/,"Minor earthquake 2.89 mag, 8 km SSE of Maria Antonia, Puerto Rico",Neutral,1
20200102,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/02/minor-earthquake-2-8-mag-strikes-near-guanica-in-puerto-rico/,"Minor earthquake, 2.8 mag strikes near Guanica in Puerto Rico",Negative,1
20200102,earthquakenewstoday.com,http://www.earthquakenewstoday.com/2020/01/02/minor-earthquake-m2-81-quake-has-struck-near-indios-in-puerto-rico/,Minor earthquake: M2.81 quake has struck near Indios in Puerto Rico,Negative,1
