UTC_Time,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Language,id,object,result_position,task_id,internal_unique_id,tweet_url,original_tweet_url,name,user_id,username,published_at,content,views_count,retweet_count,likes,quote_count,reply_count,bookmarks_count,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,is_retweeted,is_quoted,collected_at,input_url,clean_text
2019-12-31 23:17:22+00:00,"#TemblorPR En efecto, volvió a temblar en el suroeste de Puerto Rico. 

Según USGS, preliminarmente fue uno de magnitud 4.5 al sur de Yauco. 10 kilómetros de profundidad. NO hay amenaza de tsunami. https://t.co/4AduFJmWrX",1.2121507850495508e+18,https://x.com/Motinsitepegas/status/1212150785049550848,1.0,22.0,13.0,0.0,0.0,https://pbs.twimg.com/media/ENJstqRXYAMzChh.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temblorpr efect volv tembl suroest puert ric segun usgs preliminar magnitud sur yauc kilometr profund amenaz tsunami
2019-12-31 23:14:47+00:00,"#TemblorPR A 4.50 magnitude earthquake has occurred near Maria Antonia, Puerto Rico at 23:07 UTC! https://t.co/PjdKSyQM6B https://t.co/8u2PhPwfiH",1.212150133707567e+18,https://x.com/TemblorPR/status/1212150133707567104,0.0,15.0,15.0,0.0,0.0,https://pbs.twimg.com/media/ENJsHTdWoAMtzjq.jpg,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temblorpr magnitude earthquake occurred near maria antonia puerto rico utc
2020-01-02 23:58:39+00:00,4.5 quake hits Puerto Rico amid rare seismic activity #TemblorPR INFO  https://t.co/3dfsF0S8AB,1.212885950147289e+18,https://x.com/TemblorPR/status/1212885950147289099,0.0,8.0,11.0,0.0,1.0,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quake hit puerto rico amid rare seismic activity temblorpr info
2020-01-03 03:50:02+00:00,"A 4.90 magnitude earthquake has occurred near Indios, Puerto Rico at 1/2/20, 11:41 PM! #TemblorPR  https://t.co/BBM2N0Ipiy",1.2129441795103375e+18,https://x.com/TemblorPR/status/1212944179510337537,1.0,19.0,17.0,0.0,0.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,magnitude earthquake occurred near indios puerto rico pm temblorpr
2020-01-03 03:53:11+00:00,El sismo al sur de Puerto Rico (11:41pm) fue de magnitud 4.9 con profundidad de 5 kilómetros. #TemblorPR,1.2129449713362084e+18,https://x.com/AbdielBonillaPR/status/1212944971336208384,1.0,7.0,5.0,0.0,0.0,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sism sur puert ric pm magnitud profund kilometr temblorpr
2020-01-06 14:19:46+00:00,"EARTHQUAKE: Magnitude 5.8 struck 16 miles southwest of Ponce, Puerto Rico, There are reports of significant damage to homes around the southwestern coastal town of Guanica. #Earthquake #PuertoRico https://t.co/hry7z6f0VM",1.2141898193095148e+18,https://x.com/bn9weather/status/1214189819309514753,8.0,19.0,23.0,0.0,1.0,https://pbs.twimg.com/amplify_video_thumb/1214189747687411712/img/QjVL4AuV-WAO66tB.jpg,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,earthquake magnitude struck mile southwest ponce puerto rico report significant damage home around southwestern coastal town guanica earthquake puertorico
2020-01-06 10:41:23+00:00,"8 min.ago #earthquake 5.7 has hit Carenero Barrio (Guánica), Puerto Rico, 8.0mi, 6:32 AM AST (USGS) https://t.co/0Lv0o7OugK #TemblorPR https://t.co/elNvvb6Flk",1.2141348638775624e+18,https://x.com/TemblorPR/status/1214134863877562368,0.0,30.0,21.0,0.0,0.0,https://pbs.twimg.com/media/ENl5OGBX0AAaGOK.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minag earthquak hit carener barri guanic puert ric am ast usgs temblorpr
2020-01-06 17:01:16+00:00,"Un temblor de magnitud 5.8, registrado este lunes a las 06H32 en Puerto Rico, dejó graves destrozos en la isla, de acuerdo con publicaciones en las redes sociales.  #PuertoRico #TemblorPR 
https://t.co/94ojaTgOM0 https://t.co/zN2RJuTCs7",1.2142304623417508e+18,https://x.com/llopezglez/status/1214230462341750784,0.0,5.0,4.0,0.0,0.0,https://pbs.twimg.com/media/ENnQKqSXUAAEY8R.png,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temblor magnitud registr lun h puert ric dej grav destroz isla acuerd public red social puertor temblorpr
2020-01-06 11:01:05+00:00,"28 min.ago #earthquake 5.7 has hit Boca Barrio (Guayanilla), Puerto Rico, 6.2mi, 6:32 AM AST (USGS) https://t.co/TPQhoZlsPN #TemblorPR Felt Map https://t.co/unPBNRL92z",1.2141398225725276e+18,https://x.com/TemblorPR/status/1214139822572527616,0.0,11.0,18.0,0.0,0.0,https://pbs.twimg.com/media/ENl9umCXYAE8VmJ.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minago earthquake hit boca barrio guayanilla puerto rico mi ast usgs temblorpr felt map
2020-01-06 15:43:52+00:00,"El sismo de magnitud 5,7 que la mañana de este lunes ha azotado Puerto Rico #EEUU con el epicentro situado a 21 kilómetros al sur del municipio de Indios, ha dejado graves destrozos en las islas, como se aprecia en distintas imágenes difundidas.
#PuertoRico 
#Cuba
#Bayamo https://t.co/eQ6NxU3xCF",1.2142109868712714e+18,https://x.com/BayamoSomos/status/1214210986871271425,1.0,6.0,9.0,0.0,0.0,https://pbs.twimg.com/media/ENm-cs_UEAAQxaQ.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sism magnitud mañan lun azot puert ric eeuu epicentr situ kilometr sur municipi indi dej grav destroz islas apreci distint imagen difund puertor cub bayam
2020-01-06 14:59:04+00:00,"7 min.ago #earthquake 5.1 has hit Canas Barrio (Ponce), Puerto Rico, 6.2mi, 10:51 AM AST (USGS) https://t.co/itRAAEDS5G #TemblorPR https://t.co/8ynFVwkEE2",1.2141997094489866e+18,https://x.com/TemblorPR/status/1214199709448986624,0.0,9.0,4.0,0.0,0.0,https://pbs.twimg.com/media/ENm0MrnU0AA4NQJ.jpg,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minago earthquake hit canas barrio ponce puerto rico mi ast usgs temblorpr
2020-01-06 10:50:46+00:00,Data del sismógrafo en la zona de Cabo Rojo que registró el temblor al sur de Puerto Rico #temblorpr👑 https://t.co/U3mxlv3KzH,1.2141372250945454e+18,https://x.com/juancpedreira/status/1214137225094545409,3.0,12.0,18.0,0.0,0.0,https://pbs.twimg.com/media/ENl7Xp9WsAA_Y4x.jpg;https://pbs.twimg.com/media/ENl7Xp9WoAExnjH.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat sismograf zon cab roj registr temblor sur puert ric temblorpr
2020-01-06 15:02:37+00:00,"#Nuevo #Sismo en #PuertoRico 🇵🇷 (réplica)
•M5.1 (moderado)
•Prof 10km
•Epicentro: 9km al S de Tallaboa, Puerto Rico.
Ene 6/10:51h
https://t.co/WqfeKh5YLQ https://t.co/aqNeR5aCAC",1.2142006024163533e+18,https://x.com/chematierra/status/1214200602416353283,0.0,11.0,17.0,0.0,0.0,https://pbs.twimg.com/media/ENm1AkAUUAEW40h.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuev sism puertor replic m moder prof km epicentr km s tallabo puert ric ene h
