tweet_id,tweet_text,class_label,split
914134332226330625,San Juan: Trump lashes out with good reason. #PuertoRico has NEVER received more aid faster.,other_relevant_information,train
910783670134476800,Hurricane Maria Live Updates: Catastrophic Flooding in Puerto Rico by THE NEW YORK TIMES via NYT,caution_and_advice,train
912134938727780355,"Getting food to the island is, obviously, critical.",rescue_volunteering_or_donation_effort,train
910669838842056704,My heart breaks for the families in Puerto Rico and the Caribbean devastated by Hurricane Maria. Were praying for you! Estoy orando por ti!,sympathy_and_support,train
912287091026997248,"#B-FAST sending medical, reconstruction &amp; water purification equipment in #Dominica to support victims of hurricane #Maria",rescue_volunteering_or_donation_effort,train
910783391829598208,"RT @RachminiManning: My thoughts, love and prayers for everybody in Puerto Rico due to Hurricane Maria. Stay strong!",sympathy_and_support,train
913032371435433984,DONATE to help Puerto Rico/USVI-where our fellow Americans need us right now Join @BarackObama @  TY @common,rescue_volunteering_or_donation_effort,train
914175720968028161,@alan5422 @nytimes U.S. boots have been on the ground working to help #PuertoRico since at least 9/21/17. Per the DOD.,rescue_volunteering_or_donation_effort,train
910549451214872577,Hurricane Maria is ravaging the same islands Irma just devastated — photos show the damage  via @SciInsider,infrastructure_and_utility_damage,train
914176943033024514,"And of course people have to do whatever they can to take care of themselves and neighbors, but we owe them to do everything we can as a country to help them in this moment, and to rebuild. What the president has done and said is shameful.",sympathy_and_support,train
913879154789056512,#SanLorenzo #PuertoRico left in isolation from outside world after roads washed out by #HurricaneMaria @Telemundo51 @lisettmarit51,infrastructure_and_utility_damage,train
914524833047810048,Democrats R soevil! KILLING own people Puerto Ricos cop telling the truth about Hurricane Marias aid  via @YouTube,not_humanitarian,train
912385296557334530,Is our Government really going forsake these wonderful US Citizens. Send help for goodness sake. Think of the children,rescue_volunteering_or_donation_effort,train
912218742930550784,Currently affected by a power outage? Be sure to follow these steps to ensure maximum safety of food products. #HurricaneMaria,caution_and_advice,train
912123826217025536,"Our grading maps of #Dominica after #HurricaneMaria shows thousands of houses destroyed or severely damaged, collpased bridges &amp; roadblocks",infrastructure_and_utility_damage,train
913047145225375745,"From the South: .@EduardomteleSUR: Some communities havent had access to water since Irma, and now Hurricane Maria has worsened things.",other_relevant_information,train
911688986124521472,Communication lines down in Puerto Rico as officials rush to evacuate residents,displaced_people_and_evacuations,train
913171275190870016,"RING THE ISLAND WITH NAVAL VESSELS, A/C CARRIERS FOR AIR EVAC, HOSPITAL SHIPS TO AID THE HOSPITALS AND INJURED AND LAND AMPHIBIOUS VEHICLES!",other_relevant_information,train
912413151571972096,Puerto Rico Hurricane Maria Relief Fund M&amp;T Bank Account # 9873254693,other_relevant_information,train
913406667705876481,#HMCSStJohns is working with Dominican officials as it helps with #HurricaneMaria relief on the island.,rescue_volunteering_or_donation_effort,train
914642411854458880,MAKE IT VIRAL. PR Mayor blocking FOOD- TEARFUL PRs cop telling the truth about Hurricane Marias aid  via @YouTube,other_relevant_information,train
913340133700767744,"In the USVI, Hurricane Maria Drowned after Irma Destroyed",infrastructure_and_utility_damage,train
913396628647825409,The Pennsylvania National Guard has sent 14 crew members to assist Puerto Rico in the aftermath of Hurricane Maria.,rescue_volunteering_or_donation_effort,train
914205589047259136,.@USArmy #soldiers of the 602nd ASMC @FtBraggNC return to #USVI to provide medical assistance for #HurricaneMaria #ReliefEfforts.,other_relevant_information,train
911970106321842176,looking to donate to #puertorico #hurricanemaria relief #pr,rescue_volunteering_or_donation_effort,train
913088443198136320,Absolutely heartbreaking. Please do what you can to help. Find an organization you trust and give what you can.,requests_or_urgent_needs,train
910670014281342976,Goodnight! See you all tomorrow. Please send your prayers and thoughts to Puerto Rico as they are bombarded by Hurricane Maria.,sympathy_and_support,train
912389279703330816,RT @washingtonpost: ‘If anyone can hear us  help.’ Puerto Rico’s mayors describe widespread devastation from Hurricane Maria /,requests_or_urgent_needs,train
914821464427257857,"RT @julito77: Will country be just as horrified when we begin to discover that death toll from #HurricaneMaria in #PuertoRico was never 16,",injured_or_dead_people,train
913756585981284353,"Ten days after #HurricaneMaria, the situation in #PuertoRico is even more dire. Pls contact your legislators. Puerto Rico needs help now.",requests_or_urgent_needs,train
910745517927403522,RT @MavsFansForLife: #Mavs PG J.J. Barea (@jjbareapr) started a fund to help the people affected by Hurricane Maria. The goal is $100K. htt,rescue_volunteering_or_donation_effort,train
911620273488703488,RT @ItsJalissaG: Seeing all the damage hurricane Maria has done hurts my heart,infrastructure_and_utility_damage,train
910562603264602113,My dads home in Puerto Rico is completely destroyed from Hurricane Maria ὤ1,infrastructure_and_utility_damage,train
913358228070846469,"Food, water and fuel are running out on the Puerto Rican island of Vieques. Fear is spreading",requests_or_urgent_needs,train
914668099768422401,RT :Puerto Ricos cop telling the truth about Hurricane Marias aid San Joses mayor refuses to distribute Trumps Aid to her people !!!,other_relevant_information,train
914233070416535552,"@Dreamweasel Ive seen itwhy didnt they just stock their supplies better?check their pantries, garages, sheds, etc.",other_relevant_information,train
911578790144421888,"Now that Maria has caused more damage to the Virgin Islands, Dominica, &amp; Puerto Rico, I will be updating this thread throughout the week",infrastructure_and_utility_damage,train
913369714025365504,RT @USArmyNorth: TF MEDEVAC Soldier talks preparation for assisting those affected by #HurricaneMaria as part of #USArmy assistance.,rescue_volunteering_or_donation_effort,train
911892381095604225,Marc Anthony and JLo are joining forces again to help Puerto Rico after the horrific devastation of #HurricaneMaria.,rescue_volunteering_or_donation_effort,train
913427756964249602,Help us help our Puerto Rico employees and their families who survived Hurricane Maria.,requests_or_urgent_needs,train
913794705011433472,Al Jazeera English: Puerto Rico demands more aid after Hurricane Maria devastation.,other_relevant_information,train
910648665022369792,RT @eveahe: Once were able to go outside were going to find our island destroyed.,infrastructure_and_utility_damage,train
912167013870600192,RT @USCGSoutheast: .@USCG Cutter Forward brings supplies and assistance to Puerto Rico following #HurricaneMaria,rescue_volunteering_or_donation_effort,train
912378039341809667,They have no food. No water. No electricity. No gasoline. Hurry up and request the aid already. #PuertoRicoRelief,requests_or_urgent_needs,train
911559977441128449,"RT @LeJuan__James: Dear Followers, My island is hurting and its need of your help! Hurricane Maria is the largest natural disaster htt",requests_or_urgent_needs,train
