tweet_id,tweet_text,class_label,split,clean_text
910783670134476800,Hurricane Maria Live Updates: Catastrophic Flooding in Puerto Rico by THE NEW YORK TIMES via NYT,caution_and_advice,train,hurricane maria live update catastrophic flooding puerto rico new york time via nyt
912218742930550784,Currently affected by a power outage? Be sure to follow these steps to ensure maximum safety of food products. #HurricaneMaria,caution_and_advice,train,currently affected power outage sure follow step ensure maximum safety food product hurricanemaria
911826800833171456,Hurricane Maria: Storm lashes Dominican Republic after Puerto Rico #mari,caution_and_advice,train,hurricane maria storm lash dominican republic puerto rico mari
914153949975994368,Flash Flooding Threatens Towns Devastated by Hurricane Maria. #Weather #PuertoRico:  via @YouTube,caution_and_advice,train,flash flooding threatens town devastated hurricane maria weather puertorico via
913088373186801664,Our #Americares emergency response teams on the ground for #HurricaneHarvey #HurricaneIrma #HurricaneMaria ὏7Texas➡️⬅️,caution_and_advice,train,americares emergency response team ground hurricaneharvey hurricaneirma hurricanemaria texas
910803077300662272,RT @CBSNewYork: Hurricane Maria regains strength back to Category 3 storm after leaving path of destruction in Puerto Rico,caution_and_advice,train,hurricane maria regains strength back category storm leaving path destruction puerto rico
912077230062239745,"If only there was *someone* that could do something. Something so simple, that would direct emergency services their way",caution_and_advice,train,someone could something something simple would direct emergency service way
912107167762862081,RT @KatieWallsWSB: Tropical storm force winds extend 200 miles from the center of #Maria; hence the Tropical Storm Watch issued for NC http,caution_and_advice,train,tropical storm force wind extend mile center maria hence tropical storm watch issued nc
911634941460410368,#maria #Preparedness #Carolina #Georgia #eastcoast #Weather #orwx #pdxtst #nwinfo East Coast Residents monitor closely,caution_and_advice,train,maria preparedness carolina georgia eastcoast weather orwx pdxtst nwinfo east coast resident monitor closely
910786224608223232,Latest news update from Luisa Florez. Hurricane Maria Live Updates: Catastrophic Flooding in Puerto Rico,caution_and_advice,train,latest news update luisa florez hurricane maria live update catastrophic flooding puerto rico
912310707814793216,Hurricane #Maria Tropical Storm warning for NC coast Follow my lists N. CAROLINA  WEATHER,caution_and_advice,train,hurricane maria tropical storm warning nc coast follow list n carolina weather
914489791823192066,"Side Note to #Harvey #Irma #Maria victims: if you used your vehicle to charges devices after the storm, CHECK YOUR CAR BATTERY.",caution_and_advice,train,side note harvey irma maria victim used vehicle charge device storm check car battery
911694660485173255,"Carolina coast should monitor #Marias progress, as Tropical Storm or Hurricane Watches may be needed for part of this area on Sun #FCNStorm",caution_and_advice,train,carolina coast monitor maria progress tropical storm hurricane watch may needed part area sun fcnstorm
914858438261399555,"State of emergency declared in Florida after Hurricane Maria devastates Puerto Rico, many people expected to go to Florida.",caution_and_advice,train,state emergency declared florida hurricane maria devastates puerto rico many people expected go florida
910689740428472321,RT @TaylorMSmith02: Puerto Rico is also expecting more rainfall and flooding as Hurricane Maria continues to hit the island.,caution_and_advice,train,puerto rico also expecting rainfall flooding hurricane maria continues hit island
910806589518598144,Hurricane Maria is now back up to a Cat 3 and is located about 70 miles north of the Dominican Republic. Heavy rains continue to lash PR.,caution_and_advice,train,hurricane maria back cat located mile north dominican republic heavy rain continue lash pr
913836213907464193,Hurricane Maria has officially moved away from the coast! No deaths or injuries have been reported at this time,caution_and_advice,train,hurricane maria officially moved away coast death injury reported time
912297125794451457,Hurricane Maria: Dam threatens to explode in destroyed Puerto Rico #BREAKING112,caution_and_advice,train,hurricane maria dam threatens explode destroyed puerto rico breaking
913486713942675456,@brianschatz Earthquake hit without warning. Our government had a week to prepare for #HurricaneMaria and failed miserably in planning and preparation.,caution_and_advice,train,earthquake hit without warning government week prepare hurricanemaria failed miserably planning preparation
