tweet_id,tweet_text,class_label,split,clean_text
914134332226330625,San Juan: Trump lashes out with good reason. #PuertoRico has NEVER received more aid faster.,other_relevant_information,train,san juan trump lash good reason puertorico never received aid faster
913047145225375745,"From the South: .@EduardomteleSUR: Some communities havent had access to water since Irma, and now Hurricane Maria has worsened things.",other_relevant_information,train,south community havent access water since irma hurricane maria worsened thing
913171275190870016,"RING THE ISLAND WITH NAVAL VESSELS, A/C CARRIERS FOR AIR EVAC, HOSPITAL SHIPS TO AID THE HOSPITALS AND INJURED AND LAND AMPHIBIOUS VEHICLES!",other_relevant_information,train,ring island naval vessel ac carrier air evac hospital ship aid hospital injured land amphibious vehicle
912413151571972096,Puerto Rico Hurricane Maria Relief Fund M&amp;T Bank Account # 9873254693,other_relevant_information,train,puerto rico hurricane maria relief fund mampt bank account
914642411854458880,MAKE IT VIRAL. PR Mayor blocking FOOD- TEARFUL PRs cop telling the truth about Hurricane Marias aid  via @YouTube,other_relevant_information,train,make viral pr mayor blocking food tearful pr cop telling truth hurricane maria aid via
914205589047259136,.@USArmy #soldiers of the 602nd ASMC @FtBraggNC return to #USVI to provide medical assistance for #HurricaneMaria #ReliefEfforts.,other_relevant_information,train,soldier nd asmc return usvi provide medical assistance hurricanemaria reliefefforts
914668099768422401,RT :Puerto Ricos cop telling the truth about Hurricane Marias aid San Joses mayor refuses to distribute Trumps Aid to her people !!!,other_relevant_information,train,puerto rico cop telling truth hurricane maria aid san joses mayor refuse distribute trump aid people
914233070416535552,"@Dreamweasel Ive seen itwhy didnt they just stock their supplies better?check their pantries, garages, sheds, etc.",other_relevant_information,train,ive seen itwhy didnt stock supply bettercheck pantry garage shed etc
913794705011433472,Al Jazeera English: Puerto Rico demands more aid after Hurricane Maria devastation.,other_relevant_information,train,al jazeera english puerto rico demand aid hurricane maria devastation
911724296539488256,RT @MorganRadford: Supplies &amp; Skills! @SamaritansPurse makes one of the *first* relief missions since #HurricaneMaria. @TodayShow,other_relevant_information,train,supply skill make one first relief mission since hurricanemaria
913033735435620352,Because God forbid we send aid simply because they’re HUMAN.,other_relevant_information,train,god forbid send aid simply theyre human
914982042479267846,RT @tinafoleymuelle: My thoughts are with all who are suffering in #LasVegasShootings and still trying to find some normalcy after #Hurrica,other_relevant_information,train,thought suffering lasvegasshootings still trying find normalcy hurrica
912385008798781441,@AutoblogGreen 69 911T with a Stage 2-ish street tune and a KTM Duke 390. Then Id zero out my loans and give the rest to Hurricane Maria relief.,other_relevant_information,train,stage ish street tune ktm duke id zero loan give rest hurricane maria relief
913182468836118528,"NEW: @FLGovScott to visit #PuertoRico Thursday, offering aid after Hurricane #Maria  @MiamiHerald (w/ @stevebousquet)",other_relevant_information,train,new visit puertorico thursday offering aid hurricane maria w
912163680896167936,"RT @CDiggsKGUNWX: As expected, hurricane Maria continues moving north over cooler water &amp; will weaken as a result. Low effect on U.S. http",other_relevant_information,train,expected hurricane maria continues moving north cooler water weaken result low effect u
914129955222691840,While she stands in front of pallets of supplies..nice try @NBCNews,other_relevant_information,train,stand front pallet suppliesnice try
914199641536778240,A high level look at the status of roads across #PR as teams work through debris and other obstacles after #Maria.,other_relevant_information,train,high level look status road across pr team work debris obstacle maria
913246236450443267,"@Anamadeit2105 @piedpenguin @ohkathleenelise @ViudaAlegre13 @justinjm1 @MarkRuffalo @realDonaldTrump Food, water and medical are top priorities - and doing well. (Ill just leave this here)",other_relevant_information,train,food water medical top priority well ill leave
912985694548762624,"I dont understand this at all! ὄ9Anchor off coast. You can transfer food, water, &amp; medical supplies by helicopter &amp; smaller boats.",other_relevant_information,train,dont understand anchor coast transfer food water medical supply helicopter smaller boat
913066253547433984,Trump: the Atlantic is really really big! All water! Who knew? Hurricane Maria: Trump defends Puerto Rico response -,other_relevant_information,train,trump atlantic really really big water knew hurricane maria trump defends puerto rico response
910630342939332611,It would mean a lot if you tweeted about this tragedy. Your platform could bring in countless donations @selenagomez. We love you. ❤️,other_relevant_information,train,would mean lot tweeted tragedy platform could bring countless donation love
913003776516268032,"Too little water, too little gas, too little care from those in power to do something #CongressActNow lift the #JonesAct #UnidosPorPuertoRico",other_relevant_information,train,little water little gas little care power something congressactnow lift jonesact unidosporpuertorico
914807056854605825,@PrisonPlanet  THIS POLICE WOMAN IS ON THE RADIO SAYING THE PUERTO RICAN MAYOR IS A LIAR WHO IS RESELLING SUPPLIES!,other_relevant_information,train,police woman radio saying puerto rican mayor liar reselling supply
914682214927011840,RT @kellymnyc: Former FDNY Commissioner named Administrator for FEMA Region 2. Will head Puerto Rico recovery #HurricaneMaria,other_relevant_information,train,former fdny commissioner named administrator fema region head puerto rico recovery hurricanemaria
913330107858681856,"RT @ChazBeasley: Think about the things u use daily - power, cell service, running water - then think of not having them for 7 days. :",other_relevant_information,train,think thing u use daily power cell service running water think day
914358730380267520,@POTUS Distressed Puerto Rico cop tells the truth about Hurricane Marias aid– Mayor Yulin withholding distribution,other_relevant_information,train,distressed puerto rico cop tell truth hurricane maria aid mayor yulin withholding distribution
913923167084613633,RT @skepticscience: Hurricane Maria’s destruction on Puerto Rico could spawn one of the largest mass migration events in the United http,other_relevant_information,train,hurricane maria destruction puerto rico could spawn one largest mass migration event united
914461843124637696,RT @CBSMiami: .@realDonaldTrump slams Puerto Rico mayor over poor leadership during recovery efforts #PuertoRico #HurricaneMaria /,other_relevant_information,train,slam puerto rico mayor poor leadership recovery effort puertorico hurricanemaria
912149337614032896,"Congress should give PR a Jones Act waiver for good, but 12 months is a good start to help rebuild the economy/infrastructure @julito77",other_relevant_information,train,congress give pr jones act waiver good month good start help rebuild economyinfrastructure
914257460160065536,"RT @StephenEspinoza: And, unlike the earthquake in Haiti, we know about Hurricane Maria days in advance.",other_relevant_information,train,unlike earthquake haiti know hurricane maria day advance
913147036358332418,Hurricane Maria: See the ongoing flooding in Puerto Rico via FOX NEWS #USCG #usarmy #usairforce #usnavy #usmarines #tricare,other_relevant_information,train,hurricane maria see ongoing flooding puerto rico via fox news uscg usarmy usairforce usnavy usmarines tricare
913779059481567234,"PR Agricultural Sec: local ag was devastatedexcept for tomatoes, as theyre out of season. #HurricaneMaria @PuertoRicoPUR",other_relevant_information,train,pr agricultural sec local ag devastatedexcept tomato theyre season hurricanemaria
